Model,MAE,RMSE,Time
linear_regression,0.39210035032242063,0.5827440367996173,1.2642648220062256
xgboost,0.36370767316383035,0.5406288739151143,35.268657207489014
lstm,0.70626885186869,0.9449426370195729,15.635989904403687
lightgbm,0.3491805443256624,0.5335830263563829,13.12985897064209
